Protein Accession,Fusion Probability,Fused,Cluster Number
Q5TEJ8,0.998,1,2
P23381,0.998,1,2
P83111,0.976,1,2
P08631,0.968,1,2
P04839,0.894,1,2
Q53G44,0.998,1,2
Q9H0J9,0.996,1,2
P08670,0.972,1,5
P43490,1,1,2
O15553,0.982,1,2
P98082,0.814,1,2
P01892,0.97,1,2
Q16799,1,1,3
Q9BQE4,0.984,1,1
Q03519,0.998,1,2
Q8N1G2,1,1,2
O94925-3,0.594,1,1
Q9ULC5-3,0.698,1,5
Q14142,0.97,1,2
P04222,0.994,1,2
P07602-3,1,1,2
Q8N884,0.272,0,NA
Q9Y6M5,0.384,0,NA
Q9NUQ6-3,1,1,2
Q96CV9,0.99,1,1
O60603,0.352,0,NA
Q15742,0.002,0,NA
Q15397,0.312,0,NA
Q9HC16,0.014,0,NA
Q53GL7,0.974,1,2
Q9NPI6,0.018,0,NA
O60315,0.998,1,1
Q96GX5,0.264,0,NA
Q15646,0.998,1,2
Q99805,0.438,0,NA
O15118,0.132,0,NA
Q7Z2W4,0.99,1,1
Q8TCS8,1,1,2
Q5JTH9,0.926,1,5
P12314,0.072,0,NA
P55265-4,0.99,1,1
Q9Y6N5,0.902,1,2
Q9NR30,0.954,1,2
P16671,0.972,1,2
Q9BRZ2,0.956,1,4
Q9UHP3-3,0,0,NA
O95379-4,0.99,1,3
Q8NB16,0.088,0,NA
Q9Y5Q8-3,0.078,0,NA
Q9Y4A5,0.004,0,NA
P08571,1,1,3
P28838,0.998,1,2
Q9UL63,0.104,0,NA
Q9BZQ8,0.566,1,6
Q9GZR7,0,0,NA
P13995,0.996,1,2
O00560,0,0,NA
Q9Y5A7,0.162,0,NA
Q96EQ0,0.916,1,2
P23469,0.91,1,3
Q16719,1,1,2
Q9UKK3,0.238,0,NA
O75113,0.982,1,1
P48163,0.998,1,2
Q8NBZ7-2,0.108,0,NA
P17535,0.458,0,NA
Q9NZR1,0.06,0,NA
Q9Y3Z3,0.962,1,2
Q9H223,1,1,2
Q15582,0.792,1,4
P30405,0.89,1,1
Q9UIA0,0.186,0,NA
O15533-3,0.966,1,2
P17844,0.996,1,1
P41226,0.988,1,2
Q8IZH2,0.93,1,1
P54920,0.998,1,2
Q01432-4,1,1,3
P40763,1,1,2
O75410-2,0.948,1,1
Q99836-6,0.616,1,4
Q99541,0.058,0,NA
P43304,0.74,1,1
Q86WV6,0.002,0,NA
P02545,0.9,1,1
P08567,0.928,1,2
A8CG34,0.876,1,5
Q9P2R3-4,0.892,1,2
P50281,0.904,1,2
P06213,0,0,NA
P19971,0.994,1,2
Q6BDS2,0.988,1,3
O94885,0.982,1,2
P51153,0.738,1,3
Q9H939,0.01,0,NA
O75191,0.06,0,NA
Q9H4M9,0.394,0,NA
Q9NZT2,0.622,1,3
P04233-2,0.31,0,NA
Q9H0Q0,0.514,1,3
P31689,0.994,1,1
P49662,0.998,1,2
Q9H6R4,0.042,0,NA
O60879-2,0.684,1,3
P19474,1,1,2
P30273,0.996,1,3
Q9BXK5,0.018,0,NA
P53004,0.942,1,2
Q9Y678,0.97,1,6
Q7Z4G1-2,0,0,NA
Q9Y3I0,0.994,1,2
Q9UDY2-7,0.978,1,1
Q8TC07-3,0.93,1,7
P61769,0.908,1,2
Q8IY37,0.402,0,NA
A1X283,0.792,1,3
Q10589,0.968,1,4
P16615,0.966,1,1
P07355-2,0.99,1,2
Q9UJ70-2,0.998,1,3
O00499-2,0.994,1,3
Q13287,0.972,1,2
Q03188,0.998,1,8
Q9Y696,0.302,0,NA
Q13075,0.138,0,NA
Q9Y305-4,0.992,1,2
P49006,0.988,1,3
Q14258,0.94,1,2
O00571,0.884,1,1
Q8IV50,0.834,1,3
Q9UI08-2,0.246,0,NA
Q13617-2,0.726,1,6
Q14241,0.08,0,NA
P09543,0.994,1,2
Q96HA7,0.438,0,NA
P07339,0.958,1,2
