"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significance","GN"
"TIPIN",-0.2615959382826,4.28426415596168,-2.00504200099735,0.0829684657608761,0.313468886483873,-5.37987060003449,"Not significant","TIPIN"
"WDHD1",-0.228952278815683,4.83855048951004,-2.00421566665474,0.0830716167757543,0.313582567459576,-5.38107733799908,"Not significant","WDHD1"
"EEF1A2",-0.242743749114343,4.49024616616073,-2.00151560042587,0.0834095416622258,0.314581505109203,-5.38501938137456,"Not significant","EEF1A2"
"MRPL41",-0.227403734554313,4.41491893953279,-2.00071046220747,0.0835105684912519,0.314668455320943,-5.38619456993945,"Not significant","MRPL41"
"SUGP2",0.225564634100199,4.44697817258485,2.00016383503023,0.083579226250204,0.314668455320943,-5.38699235490157,"Not significant","SUGP2"
"SDCBP",0.407225258569446,4.33813145137955,1.99935517880462,0.0836808968926502,0.314775117846849,-5.38817244698355,"Not significant","SDCBP"
"P3H1",-0.238249187128028,4.59759333288137,-1.99783102762999,0.0838728544961709,0.315001035723669,-5.39039630176495,"Not significant","P3H1"
"RPL31",-0.266874141451451,4.96302419078537,-1.99771297190098,0.0838877408742203,0.315001035723669,-5.39056853365085,"Not significant","RPL31"
"EIF3D",0.242428722889143,4.81519808134738,1.99681721136692,0.0840007771581743,0.315106423930214,-5.39187526504172,"Not significant","EIF3D"
"VCPIP1",0.224715449342293,4.21632368977943,1.99584221819434,0.0841239812756966,0.315106423930214,-5.39329738646225,"Not significant","VCPIP1"
"ANP32E",-0.257642326726827,5.98011317137254,-1.99574672091483,0.0841360582069025,0.315106423930214,-5.39343666754219,"Not significant","ANP32E"
"LAMP1",-0.226328978863827,3.99040670732958,-1.9938403879171,0.0843774952564669,0.315137129158536,-5.3962166126647,"Not significant","LAMP1"
"IL18",-0.221986675155093,5.53284205293706,-1.99335971379433,0.0844384795660348,0.315137129158536,-5.39691744179787,"Not significant","IL18"
"MFAP1",-0.240931019017397,3.82954539234825,-1.99311251332035,0.0844698592883687,0.315137129158536,-5.39727784402884,"Not significant","MFAP1"
"CMAS",-0.271178684646144,4.6618118966421,-1.99292016136484,0.0844942844113798,0.315137129158536,-5.39755827161802,"Not significant","CMAS"
"RNF113A",-0.262351561399988,4.63786424300355,-1.9923081752737,0.0845720412411837,0.315137129158536,-5.39845042592376,"Not significant","RNF113A"
"PRPSAP2",-0.237372895390791,4.35990109826274,-1.99220778936886,0.0845848026073237,0.315137129158536,-5.39859676097981,"Not significant","PRPSAP2"
"CTBP1",-0.273339145078247,5.04865075488523,-1.99106027907433,0.0847308115559547,0.315389442597473,-5.40026936165856,"Not significant","CTBP1"
"CANX",-0.228033339067604,5.38343913665712,-1.99052118128113,0.0847994913228061,0.315389442597473,-5.4010550479096,"Not significant","CANX"
"PTPRJ",-0.220693638049528,4.241786873186,-1.98759774893001,0.085172878770882,0.316352869748024,-5.40531459354569,"Not significant","PTPRJ"
"PHKG2",-0.244023214000281,4.12398920015625,-1.98680920837046,0.0852738679483086,0.316352869748024,-5.406463208616,"Not significant","PHKG2"
"PIK3R4",0.26747549436326,4.4200604963412,1.9867640660479,0.0852796529120373,0.316352869748024,-5.40652896037989,"Not significant","PIK3R4"
"SEPT5",-0.247794209809063,4.72294790662224,-1.98489619706011,0.0855193559320344,0.31696811369628,-5.4092492048173,"Not significant","SEPT5"
"DFFA",-0.225318241984464,4.53449975179164,-1.98260713654099,0.0858140084401607,0.31742932807842,-5.41258180873782,"Not significant","DFFA"
"RBBP7",-0.234027580079701,5.04011902470297,-1.98256426164953,0.0858195368371966,0.31742932807842,-5.41264421863311,"Not significant","RBBP7"
"CCDC91",-0.221365592825227,4.67930895473219,-1.98206040150175,0.0858845319213683,0.31742932807842,-5.41337762145371,"Not significant","CCDC91"
"SLC29A1",-0.240985900912384,4.95194146845737,-1.98163358039697,0.0859396270333468,0.31742932807842,-5.41399884518679,"Not significant","SLC29A1"
"MESDC2",-0.257066200486581,5.39987583453966,-1.980666513301,0.0860645862019658,0.317617544263832,-5.41540623094505,"Not significant","MESDC2"
"NARS",-0.262263435103514,5.17395871397779,-1.97839309756795,0.0863590441398732,0.318430427361113,-5.41871395377594,"Not significant","NARS"
"EIF1AY",-0.26875787362652,5.38133505025244,-1.97697569220859,0.0865431274057321,0.318729615925282,-5.42077564139364,"Not significant","EIF1AY"
"CCDC58",-0.222235109361365,5.6926220407732,-1.97662518984609,0.0865887074018823,0.318729615925282,-5.42128539628544,"Not significant","CCDC58"
"TPP1",-0.250402487604394,4.64978010034829,-1.97589798573146,0.0866833491901152,0.31880457131446,-5.42234292253618,"Not significant","TPP1"
"HMGCL",-0.221870762299834,4.92649989138171,-1.9739501757185,0.0869373442178722,0.319091241231217,-5.42517491973133,"Not significant","HMGCL"
"MGEA5",0.250647362468202,4.49140876468336,1.972864831268,0.0870791885077563,0.319091241231217,-5.42675257854245,"Not significant","MGEA5"
